Fecha,NDX
12/31/2019,8733.070313
1/2/2020,8872.219727
1/3/2020,8793.900391
1/6/2020,8848.519531
1/7/2020,8846.450195
1/8/2020,8912.370117
1/9/2020,8989.629883
1/10/2020,8966.639648
1/13/2020,9070.650391
1/14/2020,9033.419922
1/15/2020,9035.669922
1/16/2020,9125
1/17/2020,9173.730469
1/21/2020,9166.629883
1/22/2020,9188.580078
1/23/2020,9216.980469
1/24/2020,9141.469727
1/27/2020,8952.179688
1/28/2020,9090.929688
1/29/2020,9101.610352
1/30/2020,9136.089844
1/31/2020,8991.509766
2/3/2020,9126.230469
2/4/2020,9334.05957
2/5/2020,9367.480469
2/6/2020,9445.919922
2/7/2020,9401.099609
2/10/2020,9516.839844
2/11/2020,9517.860352
2/12/2020,9613.200195
2/13/2020,9595.700195
2/14/2020,9623.580078
2/18/2020,9629.799805
2/19/2020,9718.730469
2/20/2020,9627.830078
2/21/2020,9446.69043
2/24/2020,9079.629883
2/25/2020,8834.870117
2/26/2020,8873.759766
2/27/2020,8436.669922
2/28/2020,8461.830078
3/2/2020,8877.980469
3/3/2020,8594.490234
3/4/2020,8949.280273
3/5/2020,8671.660156
3/6/2020,8530.339844
3/9/2020,7948.029785
3/10/2020,8372.269531
3/11/2020,8006.120117
3/12/2020,7263.649902
3/13/2020,7995.259766
3/16/2020,7020.379883
3/17/2020,7473.950195
3/18/2020,7175.180176
3/19/2020,7288.52002
3/20/2020,6994.290039
3/23/2020,7006.919922
3/24/2020,7553.830078
3/25/2020,7469.620117
3/26/2020,7897.129883
3/27/2020,7588.370117
3/30/2020,7889.009766
3/31/2020,7813.5
4/1/2020,7486.290039
4/2/2020,7635.660156
4/3/2020,7528.109863
4/6/2020,8081.660156
4/7/2020,8049.310059
4/8/2020,8229.540039
4/9/2020,8238.530273
4/13/2020,8332.740234
4/14/2020,8692.160156
4/15/2020,8591.959961
4/16/2020,8757.830078
4/17/2020,8832.410156
4/20/2020,8726.509766
4/21/2020,8403
4/22/2020,8664.639648
4/23/2020,8641.5
4/24/2020,8786.599609
4/27/2020,8837.660156
4/28/2020,8677.599609
4/29/2020,8982.759766
4/30/2020,9000.509766
5/1/2020,8718.179688
5/4/2020,8834.110352
5/5/2020,8930.620117
5/6/2020,8984.860352
5/7/2020,9101.879883
5/8/2020,9220.349609
5/11/2020,9298.919922
5/12/2020,9112.450195
5/13/2020,9000.080078
5/14/2020,9094.419922
5/15/2020,9152.639648
5/18/2020,9331.929688
5/19/2020,9298.540039
5/20/2020,9485.019531
5/21/2020,9377.990234
5/22/2020,9413.990234
5/26/2020,9389.980469
5/27/2020,9442.049805
5/28/2020,9416.709961
5/29/2020,9555.530273
6/1/2020,9598.889648
6/2/2020,9657.30957
6/3/2020,9704.69043
